exp,video,segment,SubSegment,frame,path,n_masks,n_masks^3,mask_area,mask_centroid,mask_conf,mask_strength,bbox_id,bbox_area,bbox_centroid,bbox_dim,avg_mask_area,avg_bbox_area,avg_mask_strength,avg_bbox_width,avg_bbox_height,mask_centroid_dist,bbox_centroid_dist,Label,label_LSTM,is_padding
22_08_2024,2024-08-22_10_40_00_000,1,1.0,841,22_08_2024/2024-08-22_10_40_00_000/1/841.jpg,8,,"[2305, 350, 849, 280, 927, 1475, 722, 257]","[[279.0, 279.0], [333.0, 254.0], [300.0, 233.0], [321.0, 350.0], [265.0, 466.0], [263.0, 464.0], [263.0, 474.0], [300.0, 333.0]]","[0.6635274, 0.50691676, 0.48800883, 0.39907274, 0.37677097, 0.35775685, 0.34649095, 0.30389577]","[222.61, 217.17, 216.39, 221.72, 207.37, 196.0, 214.23, 203.5]","[0, 0, 0, 0, 0, 0, 0, 0]","[5229.0, 483.0, 1170.0, 360.0, 1320.0, 2808.0, 1025.0, 330.0]","[[280.0, 283.0], [334.0, 254.0], [302.0, 235.0], [323.0, 352.0], [263.0, 464.0], [260.0, 458.0], [263.0, 474.0], [301.0, 333.0]]","[[63.0, 83.0], [21.0, 23.0], [45.0, 26.0], [18.0, 20.0], [22.0, 60.0], [36.0, 78.0], [25.0, 41.0], [15.0, 22.0]]",895.625,1590.625,212.37375,30.625,30.625,125.33,123.97,1,1,0
22_08_2024,2024-08-22_10_40_00_000,1,1.0,842,22_08_2024/2024-08-22_10_40_00_000/1/842.jpg,8,,"[2305, 350, 849, 280, 927, 1475, 722, 257]","[[279.0, 279.0], [333.0, 254.0], [300.0, 233.0], [321.0, 350.0], [265.0, 466.0], [263.0, 464.0], [263.0, 474.0], [300.0, 333.0]]","[0.6638505, 0.5069371, 0.4927659, 0.39918387, 0.37732372, 0.35846362, 0.34717745, 0.304118]","[222.61, 217.17, 216.31, 221.72, 207.37, 196.0, 214.23, 203.5]","[0, 0, 0, 0, 0, 0, 0, 0]","[5229.0, 483.0, 1170.0, 360.0, 1320.0, 2808.0, 1025.0, 330.0]","[[280.0, 283.0], [334.0, 254.0], [302.0, 235.0], [323.0, 352.0], [263.0, 464.0], [260.0, 458.0], [263.0, 474.0], [301.0, 333.0]]","[[63.0, 83.0], [21.0, 23.0], [45.0, 26.0], [18.0, 20.0], [22.0, 60.0], [36.0, 78.0], [25.0, 41.0], [15.0, 22.0]]",895.625,1590.625,212.36375,30.625,30.625,125.33,123.97,1,1,0
22_08_2024,2024-08-22_10_40_00_000,1,1.0,843,22_08_2024/2024-08-22_10_40_00_000/1/843.jpg,7,,"[2282, 350, 849, 280, 927, 1475, 721]","[[279.0, 279.0], [333.0, 254.0], [300.0, 233.0], [321.0, 350.0], [265.0, 466.0], [263.0, 464.0], [263.0, 474.0]]","[0.664532, 0.5069055, 0.48822784, 0.3993123, 0.3767083, 0.3576893, 0.3464588]","[222.77, 217.17, 216.39, 221.72, 207.37, 196.0, 214.33]","[0, 0, 0, 0, 0, 0, 0]","[5229.0, 483.0, 1170.0, 360.0, 1320.0, 2808.0, 1025.0]","[[280.0, 282.0], [334.0, 254.0], [302.0, 235.0], [323.0, 352.0], [263.0, 464.0], [260.0, 458.0], [263.0, 474.0]]","[[63.0, 83.0], [21.0, 23.0], [45.0, 26.0], [18.0, 20.0], [22.0, 60.0], [36.0, 78.0], [25.0, 41.0]]",983.4285714,1770.714286,213.6785714,32.85714286,32.85714286,134.24,132.99,1,1,0
22_08_2024,2024-08-22_10_40_00_000,1,1.0,844,22_08_2024/2024-08-22_10_40_00_000/1/844.jpg,7,,"[2125, 414, 212, 683, 308, 1985, 398]","[[278.0, 277.0], [331.0, 249.0], [314.0, 232.0], [326.0, 243.0], [333.0, 251.0], [258.0, 466.0], [264.0, 476.0]]","[0.7052426, 0.43880963, 0.35502115, 0.35211125, 0.35179397, 0.30776292, 0.30023906]","[220.88, 216.15, 212.76, 214.91, 218.66, 181.01, 223.58]","[0, 0, 0, 0, 0, 0, 0]","[4914.0, 640.0, 272.0, 1512.0, 390.0, 4368.0, 448.0]","[[280.0, 281.0], [332.0, 249.0], [315.0, 231.0], [326.0, 245.0], [333.0, 251.0], [252.0, 461.0], [265.0, 477.0]]","[[63.0, 78.0], [20.0, 32.0], [17.0, 16.0], [36.0, 42.0], [15.0, 26.0], [56.0, 78.0], [16.0, 28.0]]",875.0,1792.0,212.5642857,31.85714286,31.85714286,124.74,124.38,1,1,0
22_08_2024,2024-08-22_10_40_00_000,1,1.0,845,22_08_2024/2024-08-22_10_40_00_000/1/845.jpg,6,,"[2124, 417, 212, 309, 680, 398]","[[278.0, 277.0], [331.0, 249.0], [314.0, 232.0], [333.0, 251.0], [326.0, 243.0], [264.0, 476.0]]","[0.7053208, 0.43594292, 0.35515803, 0.34767097, 0.34747294, 0.3078295]","[220.9, 215.86, 212.76, 218.54, 214.91, 223.58]","[0, 0, 0, 0, 0, 0]","[4836.0, 620.0, 272.0, 390.0, 1512.0, 448.0]","[[280.0, 281.0], [332.0, 249.0], [315.0, 231.0], [333.0, 251.0], [326.0, 245.0], [265.0, 477.0]]","[[62.0, 78.0], [20.0, 31.0], [17.0, 16.0], [15.0, 26.0], [36.0, 42.0], [16.0, 28.0]]",690.0,1346.333333,217.7583333,27.66666667,27.66666667,99.16,99.38,1,1,0
22_08_2024,2024-08-22_10_40_00_000,1,1.0,846,22_08_2024/2024-08-22_10_40_00_000/1/846.jpg,4,,"[2415, 581, 405, 364]","[[277.0, 278.0], [309.0, 344.0], [264.0, 477.0], [292.0, 236.0]]","[0.6808967, 0.5350257, 0.41262296, 0.3569052]","[230.21, 212.78, 227.03, 215.34]","[0, 0, 0, 0]","[5376.0, 792.0, 486.0, 440.0]","[[280.0, 282.0], [308.0, 346.0], [264.0, 477.0], [291.0, 238.0]]","[[64.0, 84.0], [24.0, 33.0], [18.0, 27.0], [20.0, 22.0]]",941.25,1773.5,221.34,31.5,31.5,134.95,133.15,1,1,0
22_08_2024,2024-08-22_10_40_00_000,1,1.0,847,22_08_2024/2024-08-22_10_40_00_000/1/847.jpg,4,,"[2414, 581, 405, 364]","[[277.0, 278.0], [309.0, 344.0], [264.0, 477.0], [292.0, 236.0]]","[0.6808783, 0.53478795, 0.4126595, 0.3567274]","[230.23, 212.78, 227.03, 215.34]","[0, 0, 0, 0]","[5376.0, 792.0, 486.0, 440.0]","[[280.0, 282.0], [308.0, 346.0], [264.0, 477.0], [291.0, 238.0]]","[[64.0, 84.0], [24.0, 33.0], [18.0, 27.0], [20.0, 22.0]]",941.0,1773.5,221.345,31.5,31.5,134.95,133.15,1,1,0
22_08_2024,2024-08-22_10_40_00_000,1,1.0,848,22_08_2024/2024-08-22_10_40_00_000/1/848.jpg,4,,"[2280, 1129, 787, 533]","[[274.0, 274.0], [260.0, 471.0], [260.0, 475.0], [263.0, 477.0]]","[0.6867745, 0.5415075, 0.39183253, 0.33444852]","[237.9, 206.03, 218.86, 231.13]","[0, 0, 0, 0]","[4307.0, 1870.0, 1110.0, 588.0]","[[278.0, 276.0], [258.0, 471.0], [259.0, 477.0], [263.0, 478.0]]","[[59.0, 73.0], [34.0, 55.0], [30.0, 37.0], [21.0, 28.0]]",1182.25,1968.75,223.48,36.0,36.0,102.77,103.21,1,1,0
22_08_2024,2024-08-22_10_40_00_000,1,1.0,849,22_08_2024/2024-08-22_10_40_00_000/1/849.jpg,4,,"[2281, 1130, 787, 533]","[[274.0, 274.0], [260.0, 471.0], [260.0, 475.0], [263.0, 477.0]]","[0.68907887, 0.54011434, 0.3911463, 0.33371258]","[237.86, 206.01, 218.86, 231.13]","[0, 0, 0, 0]","[4307.0, 1870.0, 1073.0, 588.0]","[[278.0, 276.0], [258.0, 471.0], [259.0, 477.0], [263.0, 478.0]]","[[59.0, 73.0], [34.0, 55.0], [29.0, 37.0], [21.0, 28.0]]",1182.75,1959.5,223.465,35.75,35.75,102.77,103.21,1,1,0
22_08_2024,2024-08-22_10_40_00_000,1,1.0,850,22_08_2024/2024-08-22_10_40_00_000/1/850.jpg,4,,"[2282, 1129, 787, 533]","[[274.0, 274.0], [260.0, 471.0], [260.0, 475.0], [263.0, 477.0]]","[0.69534755, 0.5395733, 0.3912062, 0.33380717]","[237.84, 206.03, 218.86, 231.13]","[0, 0, 0, 0]","[4307.0, 1870.0, 1073.0, 588.0]","[[278.0, 276.0], [258.0, 471.0], [259.0, 477.0], [263.0, 478.0]]","[[59.0, 73.0], [34.0, 55.0], [29.0, 37.0], [21.0, 28.0]]",1182.75,1959.5,223.465,35.75,35.75,102.77,103.21,1,1,0
22_08_2024,2024-08-22_10_40_00_000,1,1.0,851,22_08_2024/2024-08-22_10_40_00_000/1/851.jpg,11,,"[2029, 669, 1424, 300, 769, 202, 586, 114, 202, 490, 186]","[[278.0, 276.0], [327.0, 246.0], [257.0, 470.0], [333.0, 252.0], [262.0, 473.0], [335.0, 254.0], [263.0, 475.0], [336.0, 256.0], [334.0, 255.0], [330.0, 248.0], [366.0, 310.0]]","[0.7543473, 0.40885395, 0.4024872, 0.40196595, 0.3926752, 0.38031855, 0.36988387, 0.36321366, 0.35992348, 0.3546418, 0.35184416]","[222.66, 216.3, 192.67, 223.35, 218.31, 229.03, 224.54, 236.04, 229.55, 218.32, 215.38]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4307.0, 1080.0, 2394.0, 414.0, 1092.0, 234.0, 693.0, 130.0, 256.0, 736.0, 270.0]","[[278.0, 278.0], [328.0, 248.0], [252.0, 469.0], [333.0, 253.0], [260.0, 473.0], [335.0, 255.0], [262.0, 476.0], [336.0, 257.0], [334.0, 256.0], [331.0, 249.0], [366.0, 311.0]]","[[59.0, 73.0], [30.0, 36.0], [42.0, 57.0], [18.0, 23.0], [26.0, 42.0], [13.0, 18.0], [21.0, 33.0], [10.0, 13.0], [16.0, 16.0], [23.0, 32.0], [15.0, 18.0]]",633.7272727,1055.090909,220.5590909,24.81818182,24.81818182,114.96,114.89,1,1,0
22_08_2024,2024-08-22_10_40_00_000,1,1.0,852,22_08_2024/2024-08-22_10_40_00_000/1/852.jpg,4,,"[2019, 1623, 455, 1116]","[[276.0, 274.0], [254.0, 472.0], [294.0, 236.0], [312.0, 240.0]]","[0.7827631, 0.67777544, 0.60566336, 0.41968346]","[231.59, 187.45, 217.61, 212.91]","[0, 0, 0, 0]","[3640.0, 2756.0, 624.0, 2646.0]","[[278.0, 274.0], [248.0, 472.0], [295.0, 237.0], [311.0, 244.0]]","[[56.0, 65.0], [53.0, 52.0], [26.0, 24.0], [63.0, 42.0]]",1303.25,2416.5,212.39,49.5,49.5,131.29,129.87,1,1,0
22_08_2024,2024-08-22_10_40_00_000,1,1.0,853,22_08_2024/2024-08-22_10_40_00_000/1/853.jpg,5,,"[2000, 837, 1225, 626, 373]","[[277.0, 274.0], [262.0, 472.0], [258.0, 471.0], [264.0, 472.0], [291.0, 237.0]]","[0.7505959, 0.4768796, 0.44701096, 0.4048757, 0.38698804]","[229.36, 211.73, 196.01, 217.93, 215.26]","[0, 0, 0, 0, 0]","[3528.0, 1196.0, 2014.0, 760.0, 600.0]","[[278.0, 273.0], [260.0, 471.0], [255.0, 473.0], [264.0, 473.0], [292.0, 240.0]]","[[56.0, 63.0], [26.0, 46.0], [38.0, 53.0], [19.0, 40.0], [24.0, 25.0]]",1012.2,1619.6,214.058,32.6,32.6,135.63,135.91,1,1,0
22_08_2024,2024-08-22_10_40_00_000,1,1.0,854,22_08_2024/2024-08-22_10_40_00_000/1/854.jpg,5,,"[1997, 837, 1224, 626, 392]","[[277.0, 274.0], [262.0, 472.0], [258.0, 471.0], [264.0, 472.0], [291.0, 236.0]]","[0.75249875, 0.47706848, 0.4474602, 0.40524474, 0.38311696]","[229.41, 211.73, 196.05, 217.93, 214.28]","[0, 0, 0, 0, 0]","[3528.0, 1196.0, 2014.0, 760.0, 600.0]","[[278.0, 273.0], [260.0, 471.0], [255.0, 473.0], [264.0, 473.0], [292.0, 239.0]]","[[56.0, 63.0], [26.0, 46.0], [38.0, 53.0], [19.0, 40.0], [24.0, 25.0]]",1015.2,1619.6,213.88,32.6,32.6,136.02,136.3,1,1,0
22_08_2024,2024-08-22_10_40_00_000,1,1.0,855,22_08_2024/2024-08-22_10_40_00_000/1/855.jpg,7,,"[2050, 888, 1409, 686, 498, 402, 254]","[[278.0, 276.0], [263.0, 473.0], [257.0, 473.0], [265.0, 472.0], [336.0, 258.0], [294.0, 237.0], [340.0, 266.0]]","[0.7094477, 0.4744809, 0.43444732, 0.38732716, 0.37663984, 0.3457674, 0.32076058]","[225.18, 210.1, 195.39, 217.6, 219.36, 221.97, 222.5]","[0, 0, 0, 0, 0, 0, 0]","[4526.0, 1275.0, 2226.0, 846.0, 858.0, 462.0, 285.0]","[[280.0, 280.0], [262.0, 473.0], [253.0, 474.0], [264.0, 472.0], [337.0, 256.0], [294.0, 239.0], [340.0, 266.0]]","[[62.0, 73.0], [25.0, 51.0], [42.0, 53.0], [18.0, 47.0], [22.0, 39.0], [22.0, 21.0], [15.0, 19.0]]",883.8571429,1496.857143,216.0142857,29.42857143,29.42857143,140.13,140.42,1,1,0
22_08_2024,2024-08-22_10_40_00_000,1,1.0,856,22_08_2024/2024-08-22_10_40_00_000/1/856.jpg,7,,"[2048, 887, 1409, 498, 686, 266, 423]","[[278.0, 276.0], [263.0, 473.0], [257.0, 473.0], [336.0, 258.0], [265.0, 472.0], [339.0, 266.0], [294.0, 237.0]]","[0.7079128, 0.4745807, 0.4348013, 0.39048755, 0.38772875, 0.329228, 0.3170716]","[225.21, 210.14, 195.39, 219.36, 217.6, 222.59, 221.28]","[0, 0, 0, 0, 0, 0, 0]","[4526.0, 1275.0, 2226.0, 858.0, 846.0, 285.0, 506.0]","[[280.0, 280.0], [262.0, 473.0], [253.0, 474.0], [337.0, 256.0], [264.0, 472.0], [339.0, 266.0], [294.0, 239.0]]","[[62.0, 73.0], [25.0, 51.0], [42.0, 53.0], [22.0, 39.0], [18.0, 47.0], [15.0, 19.0], [23.0, 22.0]]",888.1428571,1503.142857,215.9385714,29.57142857,29.57142857,139.97,140.27,1,1,0
22_08_2024,2024-08-22_10_40_00_000,1,1.0,857,22_08_2024/2024-08-22_10_40_00_000/1/857.jpg,7,,"[2049, 890, 1412, 683, 498, 267, 423]","[[278.0, 276.0], [263.0, 472.0], [257.0, 473.0], [265.0, 472.0], [336.0, 258.0], [339.0, 266.0], [294.0, 237.0]]","[0.7110437, 0.4742158, 0.4332473, 0.38789293, 0.3825139, 0.3240077, 0.31485066]","[225.19, 209.37, 194.93, 217.06, 219.36, 222.55, 221.28]","[0, 0, 0, 0, 0, 0, 0]","[4526.0, 1224.0, 2226.0, 846.0, 858.0, 285.0, 506.0]","[[280.0, 280.0], [262.0, 473.0], [253.0, 474.0], [264.0, 472.0], [337.0, 256.0], [340.0, 266.0], [294.0, 239.0]]","[[62.0, 73.0], [24.0, 51.0], [42.0, 53.0], [18.0, 47.0], [22.0, 39.0], [15.0, 19.0], [23.0, 22.0]]",888.8571429,1495.857143,215.6771429,29.42857143,29.42857143,139.78,140.42,1,1,0
22_08_2024,2024-08-22_10_40_00_000,1,1.0,858,22_08_2024/2024-08-22_10_40_00_000/1/858.jpg,3,,"[2479, 415, 451]","[[282.0, 284.0], [303.0, 332.0], [264.0, 477.0]]","[0.6720245, 0.32348156, 0.31958258]","[218.81, 215.84, 224.39]","[0, 0, 0]","[5568.0, 522.0, 476.0]","[[282.0, 286.0], [303.0, 334.0], [264.0, 478.0]]","[[64.0, 87.0], [18.0, 29.0], [17.0, 28.0]]",1115.0,2188.666667,219.68,33.0,33.0,132.13,131.47,1,1,0
22_08_2024,2024-08-22_10_40_00_000,1,1.0,859,22_08_2024/2024-08-22_10_40_00_000/1/859.jpg,3,,"[2412, 451, 418]","[[282.0, 283.0], [264.0, 477.0], [303.0, 332.0]]","[0.70054734, 0.32606313, 0.3244669]","[219.32, 224.39, 215.85]","[0, 0, 0]","[5440.0, 476.0, 540.0]","[[282.0, 285.0], [264.0, 478.0], [303.0, 334.0]]","[[64.0, 85.0], [17.0, 28.0], [18.0, 30.0]]",1093.666667,2152.0,219.8533333,33.0,33.0,132.77,132.11,1,1,0
22_08_2024,2024-08-22_10_40_00_000,1,1.0,860,22_08_2024/2024-08-22_10_40_00_000/1/860.jpg,4,,"[1777, 588, 449, 741]","[[279.0, 275.0], [305.0, 338.0], [266.0, 473.0], [306.0, 339.0]]","[0.6709041, 0.48063174, 0.47503495, 0.3067584]","[223.29, 197.6, 215.21, 198.35]","[0, 0, 0, 0]","[3465.0, 1066.0, 510.0, 1496.0]","[[280.0, 276.0], [305.0, 341.0], [266.0, 474.0], [309.0, 340.0]]","[[55.0, 63.0], [26.0, 41.0], [15.0, 34.0], [34.0, 44.0]]",888.75,1634.25,208.6125,32.5,32.5,102.97,103.64,1,1,0
22_08_2024,2024-08-22_10_40_00_000,1,1.0,861,22_08_2024/2024-08-22_10_40_00_000/1/861.jpg,4,,"[1749, 587, 449, 742]","[[279.0, 275.0], [305.0, 338.0], [266.0, 473.0], [306.0, 339.0]]","[0.6635604, 0.4801401, 0.47502473, 0.30576792]","[223.68, 197.61, 215.21, 198.39]","[0, 0, 0, 0]","[3410.0, 1066.0, 510.0, 1496.0]","[[280.0, 276.0], [305.0, 341.0], [266.0, 474.0], [309.0, 340.0]]","[[55.0, 62.0], [26.0, 41.0], [15.0, 34.0], [34.0, 44.0]]",881.75,1620.5,208.7225,32.5,32.5,102.97,103.64,1,1,0
22_08_2024,2024-08-22_10_40_00_000,1,1.0,862,22_08_2024/2024-08-22_10_40_00_000/1/862.jpg,5,,"[1993, 1368, 771, 530, 320]","[[277.0, 275.0], [311.0, 238.0], [301.0, 232.0], [265.0, 471.0], [321.0, 351.0]]","[0.69884515, 0.652188, 0.5738146, 0.45076934, 0.3513157]","[233.02, 219.9, 220.01, 214.85, 222.31]","[0, 0, 0, 0, 0]","[3591.0, 3162.0, 1260.0, 624.0, 399.0]","[[278.0, 275.0], [311.0, 243.0], [303.0, 233.0], [266.0, 471.0], [322.0, 352.0]]","[[57.0, 63.0], [62.0, 51.0], [42.0, 30.0], [16.0, 39.0], [19.0, 21.0]]",996.4,1807.2,222.018,39.2,39.2,124.11,122.75,1,1,0
22_08_2024,2024-08-22_10_40_00_000,1,1.0,863,22_08_2024/2024-08-22_10_40_00_000/1/863.jpg,5,,"[1991, 1360, 763, 530, 320]","[[277.0, 275.0], [311.0, 238.0], [301.0, 232.0], [265.0, 471.0], [321.0, 351.0]]","[0.7082906, 0.68431675, 0.5340759, 0.45103234, 0.3487964]","[233.03, 219.68, 220.07, 214.85, 222.31]","[0, 0, 0, 0, 0]","[3591.0, 3100.0, 1230.0, 624.0, 399.0]","[[278.0, 275.0], [311.0, 242.0], [303.0, 233.0], [266.0, 471.0], [322.0, 352.0]]","[[57.0, 63.0], [62.0, 50.0], [41.0, 30.0], [16.0, 39.0], [19.0, 21.0]]",992.8,1788.8,221.988,39.0,39.0,124.11,122.95,1,1,0
22_08_2024,2024-08-22_10_40_00_000,1,1.0,864,22_08_2024/2024-08-22_10_40_00_000/1/864.jpg,5,,"[2404, 478, 1383, 2470, 1903]","[[278.0, 279.0], [266.0, 470.0], [308.0, 233.0], [316.0, 240.0], [314.0, 238.0]]","[0.63674724, 0.4510529, 0.42395338, 0.3982737, 0.35104883]","[228.45, 212.63, 235.96, 233.16, 235.6]","[0, 0, 0, 0, 0]","[4941.0, 546.0, 1995.0, 5110.0, 3216.0]","[[280.0, 282.0], [266.0, 471.0], [308.0, 234.0], [317.0, 250.0], [313.0, 241.0]]","[[61.0, 81.0], [14.0, 39.0], [57.0, 35.0], [73.0, 70.0], [67.0, 48.0]]",1727.6,3161.6,229.16,54.4,54.4,108.96,108.57,1,1,0
22_08_2024,2024-08-22_10_40_00_000,1,1.0,865,22_08_2024/2024-08-22_10_40_00_000/1/865.jpg,5,,"[2405, 478, 1383, 2472, 1903]","[[278.0, 279.0], [266.0, 470.0], [308.0, 233.0], [316.0, 240.0], [314.0, 238.0]]","[0.6390381, 0.451126, 0.42321816, 0.3980856, 0.3499571]","[228.39, 212.63, 235.96, 233.16, 235.6]","[0, 0, 0, 0, 0]","[4941.0, 546.0, 1995.0, 5110.0, 3216.0]","[[280.0, 282.0], [266.0, 471.0], [308.0, 234.0], [317.0, 250.0], [313.0, 241.0]]","[[61.0, 81.0], [14.0, 39.0], [57.0, 35.0], [73.0, 70.0], [67.0, 48.0]]",1728.2,3161.6,229.148,54.4,54.4,108.96,108.57,1,1,0
22_08_2024,2024-08-22_10_40_00_000,1,1.0,866,22_08_2024/2024-08-22_10_40_00_000/1/866.jpg,4,,"[1840, 307, 2468, 1683]","[[279.0, 276.0], [265.0, 477.0], [314.0, 229.0], [305.0, 226.0]]","[0.66380405, 0.51747364, 0.48551467, 0.38507783]","[222.48, 214.01, 223.74, 224.2]","[0, 0, 0, 0]","[3648.0, 338.0, 3600.0, 2520.0]","[[281.0, 274.0], [265.0, 478.0], [317.0, 228.0], [309.0, 228.0]]","[[57.0, 64.0], [13.0, 26.0], [75.0, 48.0], [60.0, 42.0]]",1574.5,2526.5,221.1075,51.25,51.25,138.82,139.01,1,1,0
22_08_2024,2024-08-22_10_40_00_000,1,1.0,867,22_08_2024/2024-08-22_10_40_00_000/1/867.jpg,4,,"[1840, 307, 2460, 1638]","[[279.0, 276.0], [265.0, 477.0], [313.0, 229.0], [305.0, 227.0]]","[0.6639026, 0.5180865, 0.4875731, 0.388919]","[222.48, 214.01, 223.81, 225.0]","[0, 0, 0, 0]","[3648.0, 338.0, 3600.0, 2478.0]","[[281.0, 274.0], [265.0, 478.0], [317.0, 228.0], [309.0, 228.0]]","[[57.0, 64.0], [13.0, 26.0], [75.0, 48.0], [59.0, 42.0]]",1561.25,2516.0,221.325,51.0,51.0,138.17,139.01,1,1,0
22_08_2024,2024-08-22_10_40_00_000,1,1.0,868,22_08_2024/2024-08-22_10_40_00_000/1/868.jpg,3,,"[2340, 1805, 518]","[[278.0, 278.0], [300.0, 219.0], [314.0, 348.0]]","[0.67472434, 0.67436665, 0.41392535]","[231.02, 229.53, 210.49]","[0, 0, 0]","[4599.0, 2538.0, 810.0]","[[280.0, 279.0], [299.0, 220.0], [316.0, 348.0]]","[[63.0, 73.0], [47.0, 54.0], [27.0, 30.0]]",1554.333333,2649.0,223.68,45.66666667,45.66666667,90.48,89.64,1,1,0
22_08_2024,2024-08-22_10_40_00_000,1,1.0,869,22_08_2024/2024-08-22_10_40_00_000/1/869.jpg,3,,"[1805, 2341, 518]","[[300.0, 219.0], [278.0, 278.0], [314.0, 348.0]]","[0.6743987, 0.6738126, 0.41392854]","[229.53, 231.06, 210.49]","[0, 0, 0]","[2538.0, 4599.0, 810.0]","[[299.0, 220.0], [280.0, 279.0], [316.0, 348.0]]","[[47.0, 54.0], [63.0, 73.0], [27.0, 30.0]]",1554.666667,2649.0,223.6933333,45.66666667,45.66666667,90.48,89.64,1,1,0
22_08_2024,2024-08-22_10_40_00_000,1,1.0,870,22_08_2024/2024-08-22_10_40_00_000/1/870.jpg,3,,"[2179, 510, 2205]","[[278.0, 276.0], [315.0, 349.0], [307.0, 217.0]]","[0.66856223, 0.44569248, 0.39326447]","[229.28, 212.41, 211.71]","[0, 0, 0]","[4026.0, 756.0, 4144.0]","[[280.0, 276.0], [317.0, 350.0], [314.0, 218.0]]","[[61.0, 66.0], [28.0, 27.0], [74.0, 56.0]]",1631.333333,2975.333333,217.8,54.33333333,54.33333333,93.28,94.0,1,1,0
22_08_2024,2024-08-22_10_40_00_000,1,1.0,871,22_08_2024/2024-08-22_10_40_00_000/1/871.jpg,3,,"[2165, 504, 2186]","[[277.0, 276.0], [315.0, 349.0], [307.0, 217.0]]","[0.6631254, 0.44722497, 0.39370716]","[229.48, 212.76, 211.57]","[0, 0, 0]","[4026.0, 756.0, 4144.0]","[[280.0, 276.0], [317.0, 350.0], [314.0, 218.0]]","[[61.0, 66.0], [28.0, 27.0], [74.0, 56.0]]",1618.333333,2975.333333,217.9366667,54.33333333,54.33333333,93.58,94.0,1,1,0
22_08_2024,2024-08-22_10_40_00_000,1,1.0,872,22_08_2024/2024-08-22_10_40_00_000/1/872.jpg,2,,"[1720, 1810]","[[277.0, 274.0], [313.0, 234.0]]","[0.63057894, 0.40045482]","[223.13, 220.99]","[0, 0]","[3300.0, 3162.0]","[[279.0, 275.0], [310.0, 237.0]]","[[55.0, 60.0], [62.0, 51.0]]",1765.0,3231.0,222.06,58.5,58.5,53.81,49.04,1,1,0
22_08_2024,2024-08-22_10_40_00_000,1,1.0,873,22_08_2024/2024-08-22_10_40_00_000/1/873.jpg,2,,"[1719, 1795]","[[277.0, 274.0], [313.0, 234.0]]","[0.6313319, 0.3919061]","[223.12, 220.9]","[0, 0]","[3300.0, 3162.0]","[[279.0, 275.0], [310.0, 237.0]]","[[55.0, 60.0], [62.0, 51.0]]",1757.0,3231.0,222.01,58.5,58.5,53.81,49.04,1,1,0
22_08_2024,2024-08-22_10_40_00_000,1,1.0,874,22_08_2024/2024-08-22_10_40_00_000/1/874.jpg,4,,"[4898, 1642, 2716, 6646]","[[318.0, 227.0], [276.0, 182.0], [277.0, 279.0], [311.0, 233.0]]","[0.7657324, 0.5597551, 0.4583612, 0.37408236]","[231.17, 209.42, 235.83, 229.22]","[0, 0, 0, 0]","[7708.0, 2548.0, 5016.0, 11303.0]","[[315.0, 225.0], [280.0, 186.0], [281.0, 281.0], [313.0, 241.0]]","[[82.0, 94.0], [49.0, 52.0], [66.0, 76.0], [89.0, 127.0]]",3975.5,6643.75,226.41,71.5,71.5,58.84,57.4,1,1,0
22_08_2024,2024-08-22_10_40_00_000,1,1.0,875,22_08_2024/2024-08-22_10_40_00_000/1/875.jpg,4,,"[4900, 1644, 2691, 6635]","[[318.0, 227.0], [276.0, 182.0], [277.0, 279.0], [311.0, 233.0]]","[0.76577944, 0.5748455, 0.45976624, 0.37483317]","[231.21, 209.37, 236.18, 229.23]","[0, 0, 0, 0]","[7708.0, 2597.0, 5016.0, 11520.0]","[[315.0, 225.0], [280.0, 186.0], [281.0, 281.0], [313.0, 241.0]]","[[82.0, 94.0], [49.0, 53.0], [66.0, 76.0], [90.0, 128.0]]",3967.5,6710.25,226.4975,71.75,71.75,58.84,57.4,1,1,0
22_08_2024,2024-08-22_10_40_00_000,1,1.0,876,22_08_2024/2024-08-22_10_40_00_000/1/876.jpg,4,,"[2307, 698, 402, 588]","[[277.0, 277.0], [321.0, 343.0], [322.0, 348.0], [296.0, 233.0]]","[0.714919, 0.5672749, 0.4289382, 0.38135597]","[235.39, 229.89, 231.3, 235.92]","[0, 0, 0, 0]","[4725.0, 952.0, 528.0, 754.0]","[[280.0, 281.0], [323.0, 345.0], [323.0, 351.0], [297.0, 234.0]]","[[63.0, 75.0], [28.0, 34.0], [22.0, 24.0], [26.0, 29.0]]",998.75,1739.75,233.125,34.75,34.75,74.52,74.85,1,1,0
22_08_2024,2024-08-22_10_40_00_000,1,1.0,877,22_08_2024/2024-08-22_10_40_00_000/1/877.jpg,4,,"[2299, 703, 430, 587]","[[277.0, 277.0], [322.0, 343.0], [322.0, 348.0], [296.0, 233.0]]","[0.719303, 0.58285934, 0.43124673, 0.38086465]","[235.48, 229.85, 231.5, 235.93]","[0, 0, 0, 0]","[4662.0, 952.0, 552.0, 754.0]","[[280.0, 281.0], [323.0, 345.0], [324.0, 350.0], [297.0, 234.0]]","[[63.0, 74.0], [28.0, 34.0], [23.0, 24.0], [26.0, 29.0]]",1004.75,1730.0,233.19,35.0,35.0,74.63,74.52,1,1,0
